id,Leave_Next_Month
100,0.81592005
101,0.053664565
102,0.4191097
103,0.027522497
105,0.86337984
106,0.40891123
110,0.22986831
112,0.21734622
113,0.5762458
115,0.040293958
117,0.06571483
118,0.21311548
120,0.82286716
122,0.38751706
125,0.19067511
126,0.5160413
127,0.56790257
128,0.010719314
129,0.15761013
132,0.07694371
136,0.53298694
139,0.814029
140,0.113173716
141,0.035023663
142,0.022169214
144,0.22508727
145,0.4694948
147,0.71821785
148,0.033138722
152,0.20004125
155,0.6575708
157,0.41054577
158,0.014941351
159,0.039130144
162,0.017617656
164,0.8249962
165,0.46361408
170,0.43116745
171,0.01943355
177,0.10773792
178,0.2321741
179,0.025262073
184,0.017059049
185,0.8278651
186,0.054572605
188,0.018468903
190,0.37025326
191,0.8193946
192,0.040612467
193,0.14639606
194,0.018024482
198,0.018287793
201,0.3283481
204,0.26517957
207,0.06804346
210,0.2572851
212,0.36849624
214,0.043613683
216,0.028735999
217,0.88369393
218,0.0126218945
219,0.23991245
227,0.010254166
228,0.43863937
230,0.7335705
231,0.17793399
232,0.030125264
233,0.8112189
235,0.01820708
236,0.33233556
237,0.010734525
238,0.017697124
239,0.7545818
241,0.23256832
244,0.009360996
245,0.04865327
247,0.7233064
248,0.07000759
253,0.034587078
254,0.124196425
256,0.44565818
258,0.027574522
260,0.1877756
264,0.035778925
266,0.6005274
267,0.009574269
268,0.2695319
270,0.062482554
271,0.82109207
272,0.043587964
274,0.025967576
276,0.3841932
279,0.01765541
281,0.4611862
284,0.5713911
286,0.12264061
290,0.06828064
292,0.008952814
293,0.017998915
294,0.028703162
295,0.3275039
298,0.023067096
299,0.3354276
301,0.42660156
306,0.020836443
310,0.6660283
312,0.017369552
313,0.019433724
315,0.11677669
317,0.021032691
320,0.56445736
325,0.06724045
328,0.3415459
334,0.04634385
335,0.5796908
337,0.4649124
338,0.72565943
348,0.4483179
351,0.4918388
354,0.11041559
356,0.04469136
357,0.13948491
360,0.74841374
361,0.7725275
363,0.024273558
365,0.025033131
366,0.010286436
369,0.0111027295
372,0.5293359
374,0.7497476
375,0.6383768
382,0.28996965
383,0.079715386
387,0.75165576
388,0.5596193
390,0.547349
393,0.7749883
394,0.0912769
398,0.43049335
399,0.6656726
400,0.14794381
402,0.6738669
403,0.024345668
404,0.42049417
405,0.012718211
407,0.03631638
408,0.5849098
410,0.4886878
414,0.68755895
415,0.21572873
419,0.3270077
420,0.05289825
421,0.026610617
422,0.6635021
423,0.06334096
424,0.025609089
426,0.5096894
429,0.4647283
435,0.05003034
437,0.027475633
440,0.10110286
441,0.008747695
442,0.044202738
443,0.019691257
444,0.018739428
